Winner, Loser, WRank, LRank, Court, Surface, Round, Series, WElapsed, LElapsed, WRClay, WRGrass, WRHard, LRClay, LRGrass, LRHard, WAvgSpeed, LAvgSpeed, Wsets, Lsets, WDigit, LDigit
Bautista, Youzhny, 14.000000, 57.000000, Outdoor, Hard, Quarterfinals, ATP250, 1.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Medvedev, Sela, 99.000000, 96.000000, Outdoor, Hard, Semifinals, ATP250, 1.000000, 1.000000, 0.040000, 0.360000, 0.600000, 0.068182, 0.272727, 0.659091, nan, 153.654936, 2.000000, 1.000000, 1, 0
Bautista, Paire, 14.000000, 47.000000, Outdoor, Hard, Semifinals, ATP250, 1.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Bautista, Medvedev, 14.000000, 99.000000, Outdoor, Hard, The Final, ATP250, 1.000000, 1.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Brown, Bagnis, 72.000000, 56.000000, Outdoor, Hard, 1st Round, ATP250, 74.000000, 126.000000, 0.340426, 0.276596, 0.382979, 0.923077, 0.000000, 0.076923, 176.681588, 167.461749, 2.000000, 1.000000, 1, 0
Vesely, Yuksel, 55.000000, 507.000000, Outdoor, Hard, 1st Round, ATP250, 89.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
Almagro, Lorenzi, 44.000000, 40.000000, Outdoor, Hard, 1st Round, ATP250, 62.000000, 61.000000, 0.698113, 0.028302, 0.273585, 0.640000, 0.026667, 0.333333, 175.619251, 166.731951, 2.000000, 1.000000, 1, 0
Djokovic, Struff, 2.000000, 63.000000, Outdoor, Hard, 1st Round, ATP250, 43.000000, 60.000000, 0.229773, 0.097087, 0.673139, 0.377358, 0.075472, 0.547170, 173.956002, 185.668817, 2.000000, 0.000000, 1, 0
Zeballos, Mayer, 71.000000, 50.000000, Outdoor, Hard, 1st Round, ATP250, 105.000000, 67.000000, 0.660000, 0.000000, 0.340000, 0.503704, 0.170370, 0.325926, 168.308901, 164.620329, 2.000000, 1.000000, 1, 0
Goffin, Haase, 11.000000, 59.000000, Outdoor, Hard, 1st Round, ATP250, 46.000000, 63.000000, 0.295775, 0.084507, 0.619718, 0.451613, 0.118280, 0.430108, 163.700575, 172.912826, 2.000000, 0.000000, 1, 0
Stepanek, Baghdatis, 107.000000, 36.000000, Outdoor, Hard, 1st Round, ATP250, 88.000000, 62.000000, 0.300000, 0.200000, 0.500000, 0.058824, 0.223529, 0.717647, 172.962494, 168.784262, 1.000000, 0.000000, 1, 0
De, Safwat, 134.000000, 199.000000, Outdoor, Hard, 1st Round, ATP250, 75.000000, 728.000000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1, 0
